579,156,0.004101040,7.008771930,12
437,187,0.002699700,6.869509044,15
430,189,0.002650400,6.610747051,13
466,207,0.002893960,6.945454545,17
16,16,0.000086570,5.500000000,10
407,152,0.002486300,6.590846047,12
422,168,0.002536880,6.612600536,14
96,27,0.000645020,8.054216867,11
576,87,0.003376570,6.730019493,7
634,119,0.003867100,7.052537845,13
90,57,0.000690500,6.809815951,15
560,141,0.003280600,6.932391524,11
83,47,0.000603440,5.891156463,13
502,146,0.002989440,6.734304933,14
66,39,0.000500450,6.134453782,13
501,146,0.002950870,6.698768197,10
81,44,0.000572880,6.510638298,10
46,37,0.000281630,7.869047619,19
386,160,0.002257060,6.806404658,18
429,190,0.002783250,6.808201058,16
540,132,0.003296920,6.774428274,14
453,166,0.002753890,6.643750000,10
464,181,0.002823530,6.876073620,15
651,198,0.003910080,7.221929825,14
406,189,0.002578760,6.628453039,13
423,187,0.002621040,6.837365591,15
453,203,0.002796680,6.817164179,15
17,15,0.000213400,5.382352941,7
405,165,0.002404430,6.697771588,13
542,140,0.003329080,6.953271028,16
135,38,0.000884470,8.691304348,14
67,34,0.000399250,7.914529915,12
452,194,0.002697190,6.759051186,16
432,195,0.002664930,6.809210526,13
521,162,0.003279990,6.914502165,14
111,79,0.000969830,7.827411168,17
590,98,0.003698980,6.833491912,14
549,148,0.003416840,6.898773006,14
447,184,0.002826540,6.728192162,12
460,211,0.003212060,6.956790123,13
394,140,0.003776930,6.472103004,8
65,45,0.000616760,7.798319328,19
510,155,0.003059780,6.728982301,11
525,222,0.003259850,6.770652174,16
533,130,0.003296520,6.888771186,14
416,184,0.002603810,6.963464141,20
19,18,0.000236750,7.472222222,14
428,181,0.002505530,6.787598945,15
552,149,0.003399920,6.852342159,11
461,198,0.002905590,7.300370828,16
496,174,0.003017400,7.079128440,12
88,49,0.000635600,7.538961039,15
601,101,0.003537970,6.789915966,11
452,206,0.002853680,7.279040404,16
560,132,0.003418650,6.863911290,12
43,36,0.000392040,7.333333333,16
480,180,0.002815810,6.946745562,8
459,216,0.002861700,7.028290283,12
80,55,0.000559360,7.758865248,17
68,46,0.000399260,6.628099174,16
525,219,0.003096040,6.796517954,19
401,153,0.002485190,6.597475456,13
632,195,0.003892350,7.222924188,15
416,188,0.002596900,6.955223881,18
496,210,0.003014690,7.478857143,14
20,20,0.000104700,7.916666667,16
659,129,0.004024300,7.118803419,17
474,197,0.002957380,6.955847255,15
62,41,0.000472190,7.633928571,19
423,170,0.002469160,6.562248996,10
514,158,0.003189820,6.832969432,16
394,166,0.002449820,6.625000000,16
420,181,0.002604020,6.912634409,15
410,178,0.002555820,6.706206897,18
386,175,0.002415160,6.514577259,11
448,176,0.002741270,6.877525253,20
389,164,0.002412160,6.535455861,14
466,194,0.002898160,6.904126214,16
453,194,0.002804990,6.616149068,10
442,193,0.002722640,6.836550837,17
590,129,0.003601800,6.828820116,11
454,197,0.002866400,7.008695652,21
57,39,0.000454360,5.575471698,11
18,17,0.000117330,7.257142857,13
387,149,0.002308160,6.435860058,7
572,175,0.003517240,7.080357143,17
417,179,0.002601710,6.644897959,11
596,175,0.003634860,7.102927290,17
382,168,0.002450530,6.388807069,8
522,150,0.003204640,6.742734123,12
580,151,0.003566830,7.113592233,21
458,208,0.002888350,6.909987670,18
485,176,0.004132490,6.989449004,12
580,152,0.004851950,6.989278752,14
409,152,0.002607010,6.717241379,12
403,161,0.002480880,6.648951049,17
636,186,0.003839350,7.133752244,8
48,29,0.000444630,5.715909091,9
613,104,0.003641470,6.960514233,14
450,203,0.002838350,6.843750000,13
